Name,Decks
Dragons,31314
Elves,24851
Zombies,24612
Eldrazi,21755
Vampires,20628
Humans,17704
Angels,15753
Goblins,15652
Dinosaurs,15649
Pirates,10843
Wizards,10419
Assassins,9737
Cats,8577
Merfolk,8243
Slivers,8069
Demons,7980
Faeries,7593
Knights,7581
Rats,7231
Phyrexians,6977
Spirits,5418
Birds,5350
Horrors,5072
Hydras,4964
Soldiers,4896
Ninjas,4305
Saprolings,4205
Elementals,4087
Frogs,3920
Shapeshifters,3902
Insects,3535
Rogues,3420
Myr,3380
Warriors,3334
Spiders,3289
Werewolves,2667
Squirrels,2558
Mutants,2282
Bears,2268
Allies,2213
Gods,2173
Clerics,2151
Dogs,2049
Dwarves,2023
Lizards,2018
Snakes,1939
Rabbits,1908
Otters,1856
Beasts,1823
Treefolk,1691
Mice,1536
Bats,1516
Tyranids,1509
Wolves,1500
Samurai,1398
Fungi,1377
Giants,1341
Artificers,1304
Oozes,1270
Wurms,1208
Apes,1198
Sphinxes,1075
Wraiths,1015
Raccoons,1007
Scarecrows,998
Thopters,977
Halflings,970
Golems,896
Skeletons,832
Minotaurs,793
Constructs,781
Orcs,766
Necrons,739
Monks,672
Druids,672
Robots,608
Devils,573
Crabs,531
Phoenixes,499
Turtles,495
Lhurgoyfs,487
Spacecraft,461
Praetors,456
Time Lords,439
Plants,438
Illusions,417
Archers,403
Monkeys,333
Avatars,311
Unicorns,306
Horses,297
Nightmares,296
Rebels,282
Kithkin,274
Detectives,274
Advisors,251
Griffins,225
Satyrs,222
Daleks,217
Shamans,208
Foxes,205
Mounts,185
Atogs,180
Gorgons,175
Cybermen,163
Astartes,159
Gnomes,154
Drakes,151
Arcane,142
Moonfolk,135
Villains,133
Elders,129
Mercenaries,125
Elephants,124
Whales,95
Barbarians,88
Berserkers,85
Goats,81
Specters,73
Kor,67
Sharks,55
Pegasi,50
Ogres,45
Cephalids,37
Shades,34
Minions,34
Symbiotes,23
